id_emprestimo,cliente_id,produto,valor_contratado,taxa_juros_a.m.,qtd_parcelas,parcelas_pagas,data_contratacao,situacao
EMP-0294,CLT-0398,financiamento veicular,3995.87,0.0134,24,4,2018-06-19,em dia
EMP-0352,CLT-0566,financiamento veicular,39807.21,4.0,60,35,2022-08-03,em dia
EMP-0262,CLT-0007,consignado,34664.45,2.4,120,45,2022-04-16,em dia
EMP-0144,CLT-0214,crédito pessoal,9716.15,4.5,60,25,2023-05-26,em dia
EMP-0094,CLT-0398,credito imobiliario,9275.56,4.05,36,31,2018-01-25,quitado
EMP-0341,CLT-0108,financiamento veicular,3511.6,2.1,48,14,2022-10-13,em dia
EMP-0122,CLT-0226,crédito pessoal,12955.61,5.3,24,20,2024-03-22,em dia
EMP-0078,CLT-0144,financiamento veicular,123696.56,4.7,12,2,2024-08-12,em dia
EMP-0209,CLT-0772,crédito pessoal,8938.46,4.3,48,21,2019-09-25,quitado
EMP-0046,CLT-0143,cp,5699.12,0.0149,240,0,2019-08-03,em dia
EMP-0237,CLT-0253,fin. veicular,,3.19,48,28,2023-08-25,atrasado
EMP-0228,clt-0350,credito pessoal,43979.12,4.08,240,163,2024-04-10,em dia
EMP-0055,CLT-0605,financiamento veicular,21867.53,2.7,72,43,2018-12-07,atrasado
EMP-0325,CLT-0535,consignado,46635.45,,240,82,2019-03-26,em dia
EMP-0057,CLT-0200,consignado,48493.91,1.23,72,68,2022-08-28,em análise
EMP-0224,CLT-0775,consignado,320454.6,3.3,240,228,2021-06-24,em analise
EMP-0206,CLT-0593,consignado,36755.02,0.0398,48,30,2021-03-27,em dia
EMP-0149,CLT-0275,fin. veicular,40205.66,4.1,240,122,2021-04-02,quitado
EMP-0277,CLT-0384,fv,58437.86,1.7,240,75,2019-03-22,atrasado
EMP-0139,CLT-0766,credito pessoal,39626.38,2.06,24,12,2020-01-03,em dia
EMP-0153,CLT-0392,credito pessoal,9384.81,4.4,48,18,2024-12-28,em analise
EMP-0118,CLT-0595,consignado,49186.77,1.06,24,21,2026-04-05,em dia
EMP-0150,CLT-0253,crédito imobiliário,41127.38,3.8,72,32,2018-10-09,em dia
EMP-0305,CLT-0607,fin. veicular,305252.93,4.72,48,15,2018-06-03,atrasado
EMP-0179,CLT-0324,financiamento veicular,42469.19,1.5,240,195,2025-06-20,em dia
EMP-0202,CLT-0485,financiamento veicular,39850.72,,24,23,2019-09-16,em dia
EMP-0195,CLT-0116,credito imobiliario,34847.41,1.4,120,9,2025-10-13,quitado
EMP-0039,CLT-0402,crédito imobiliário,92359.57,0.0367,36,33,2021-11-25,em dia
EMP-0098,CLT-0240,consignado,4814.64,0.0188,120,67,2018-03-08,em dia
EMP-0189,CLT-0415,credito pessoal,9693.72,5.0,12,3,2023-08-14,em dia
EMP-0192,clt-0820,fin. veicular,2055.2,0.0508,24,23,2023-09-08,atrasado
EMP-0259,CLT-0604,fin. veicular,4621.1,0.0469,72,65,2018-12-26,em análise
EMP-0030,CLT-0208,cp,4620.82,1.9,120,53,2022-08-07,em dia
EMP-0252,CLT-0129,financiamento veicular,49210.2,1.3,60,28,2025-08-24,em dia
EMP-0080,CLT-0080,consignado,54386.53,4.18,120,63,2019-03-27,em dia
EMP-0290,CLT-0007,fv,380453.86,2.5,36,31,2019-12-04,quitado
EMP-0230,CLT-0650,fin. veicular,50110.59,0.0172,12,17,2024-11-19,quitado
EMP-0177,CLT-0478,crédito pessoal,58002.98,,48,47,2024-08-22,quitado
EMP-0226,CLT-0456,consignado,4893.81,5.42,120,22,2018-12-29,atrasado
EMP-0113,CLT-0224,crédito imobiliário,15504.29,4.6,120,3,2021-11-26,em dia
EMP-0359,CLT-0803,fin. veicular,1870.92,,36,4,2024-09-01,quitado
EMP-0333,CLT-0161,financiamento veicular,9085.71,4.04,24,8,2026-05-03,em análise
EMP-0132,CLT-0349,credito pessoal,115935.89,3.6,120,18,2020-02-24,em dia
EMP-0245,clt-0564,cp,155015.92,5.1,24,23,2022-12-27,em dia
EMP-0303,CLT-0571,fin. veicular,127169.2,1.7,240,174,2022-12-17,em dia
EMP-0344,CLT-0313,consignado,5876.08,2.6,120,115,2019-05-11,em análise
EMP-0029,CLT-0161,fv,279547.57,2.46,120,85,2019-09-07,em análise
EMP-0328,CLT-0087,consignado,6679.84,3.1,240,26,2025-07-18,em analise
