Id_Emprestimo,cliente_id,Produto ,Valor Contratado,Taxa Juros a.m.,Qtd Parcelas,Parcelas Pagas,Data Contratação,Situação
EMP-0350,CLT-0221,consignado,R$ 8541.01,"5,2%",12,8,06/01/2019,Em análise
EMP-0028,CLT-0525,CP,3034.35,,12,1,22/06/2020,Em dia
EMP-0222,CLT-0701,credito imobiliario,228362.23,0.0104,24,21,22/10/18,Atrasado
EMP-0221,CLT-0789,Crédito Imobiliário,"R$ 275.584,21","5,5%",72,5 ,2025-03-02,EM DIA
EMP-0335,CLT-0646,Fin. Veicular,34667.03,"1,0%",240,211 ,31-01-2018,Quitado
EMP-0318,CLT-0381,Crédito Imobiliário,"R$ 29.707,59",3.4% a.m.,72,3 ,29/06/24,Em dia
EMP-0040,CLT-0763,financiamento veicular,"R$ 16.480,53",4.50,36,35 ,12/10/2021,Em dia
EMP-0136,CLT-0486,Crédito Imobiliário,3325.58,3.5% a.m.,240,83,25-02-2025,em analise
EMP-0309,CLT-0521,Consignado,50448.59,0.0424,120,27,14/12/2025,Em análise
EMP-0031,CLT-0257,Crédito Imobiliário,"20036,97",4.3% a.m.,60,53,23/12/2022,atrasado
EMP-0342,CLT-0748,financiamento veicular,48064.17,"4,6%",36,19,2026-07-23,Em dia
EMP-0154,CLT-0233,CRÉDITO PESSOAL,"R$ 237.823,18",0.0363,60,18,26/07/2025,Em dia
EMP-0289,CLT-0583,Consignado,"182485,31",,240,207 ,26/11/2018,EM DIA
EMP-0186,CLT-0059,CI,R$ 196716.16,,72,70,2025-11-05,Quitado
EMP-0275,CLT-0739,CRÉDITO PESSOAL,"106.980,62",0.0270,12,7,02-03-2023,EM DIA
EMP-0197,clt-0623,FV,9479.85,"1,9%",24,20,15/01/2020,Em dia
EMP-0251,CLT-0756,CI,7255.41,0.0139,240,97,2019-08-23,Em dia
EMP-0050,CLT-0226,credito pessoal,"4.786,47",0.0124,60,30,15/05/25,quitado
EMP-0332,CLT-0676,Crédito Imobiliário,"5.618,85",0.0200,60,19,20/06/2026,em dia
EMP-0020,CLT-0144,financiamento veicular,"R$ 45.540,41",,60,21 ,27-abr-2024,Em dia
EMP-0111,CLT-0261,financiamento veicular,,0.0180,240,147 ,2026-07-10,Em análise
EMP-0292,CLT-0400,credito imobiliario,"R$ 233.239,83",2.6% a.m.,12,6 ,19/10/2022,Quitado
EMP-0072,CLT-0662,financiamento veicular,R$ 9738.95,2.03,24,17 ,2020-11-06,
EMP-0089,CLT-0516,CP,22462.17,1.2% a.m.,72,61,2025-03-12,em dia
EMP-0301,CLT-0670,Financiamento Veicular,"R$ 6.292,23",,120,78 ,10/04/2019,EM DIA
EMP-0061,CLT-0801,credito pessoal,"327856,94",1.8% a.m.,24,16 ,15/05/2019,Quitado
EMP-0115,clt-0686,Financiamento Veicular,"2563,64",0.0217,72,66 ,05/06/2025,EM DIA
EMP-0272,CLT-0190,consignado,"18560,32",4.51,48,34,2021-04-26,atrasado
EMP-0152,CLT-0182,financiamento veicular,"2746,30",4.3% a.m.,48,3,21-05-2026,Em dia
EMP-0163,CLT-0050,CRÉDITO PESSOAL,"3.999,50",3.5% a.m.,60,4 ,2022-12-03,EM DIA
EMP-0161,CLT-0089,CP,8847.99,"1,8%",120,98,20/02/21,Em dia
EMP-0091,CLT-0344,Crédito Imobiliário,"8772,84",0.0390,240,86,24-11-2023,Em análise
EMP-0210,CLT-0491,credito pessoal,"R$ 9.881,59",0.0092,240,191 ,04/03/2024,em analise
EMP-0093,CLT-0728,FV,R$ 389348.86,,72,21 ,06/03/24,Em dia
EMP-0085,CLT-0781,Fin. Veicular,"R$ 4.015,59",0.0207,240,244 ,17/08/2024,ATRASADO
EMP-0173,CLT-0681,credito pessoal,53946.91,"1,4%",12,2 ,11/04/2020,atrasado
EMP-0246,clt-0397,Crédito Pessoal,"R$ 329.555,95",,240,4,04/02/18,Atrasado
EMP-0183,CLT-0819,CP,"R$ 1.404,20",3.5% a.m.,120,52,2026-07-02,Em dia
EMP-0076,CLT-0761,Consignado,273909.45,0.0368,24,18 ,17/01/2026,em dia
EMP-0253,clt-0151,financiamento veicular,11848.70,,240,241 ,2021-01-27,Em dia
EMP-0066,CLT-0418,consignado,"R$ 355.918,09",0.0213,240,91,2025-01-29,Em dia
EMP-0023,CLT-0220,CI,"6.428,23",3.35,240,200,2025-10-11,Em dia
EMP-0322,CLT-0336,Crédito Pessoal,"R$ 260.355,81","1,0%",12,7,2023-03-01,Atrasado
EMP-0109,CLT-0174,CONSIGNADO,32971.37,1.87,12,6,05-11-2021,Em dia
EMP-0048,CLT-0759,Crédito Imobiliário,R$ 5615.20,3.9% a.m.,12,4 ,13/10/2023,Em dia
EMP-0258,CLT-0543,CI,"R$ 6.708,52",1.0% a.m.,240,17,18/03/2026,Quitado
EMP-0294,CLT-0398,Financiamento Veicular,"R$ 3.995,87",0.0134,24,4 ,19/06/18,Em dia
EMP-0352,CLT-0566,Financiamento Veicular,R$ 39807.21,"4,0%",60,35 ,08/03/22,Em dia
EMP-0262,CLT-0007,consignado,"R$ 34.664,45","2,4%",120,45,16/04/2022,Em dia
EMP-0144,CLT-0214,Crédito Pessoal,"R$ 9.716,15",4.5% a.m.,60,25 ,26-05-2023,Em dia
EMP-0094,CLT-0398,credito imobiliario,"9275,56",4.05,36,31,2018-01-25,Quitado
EMP-0341,CLT-0108,Financiamento Veicular,"3511,60",2.10,48,14,13/10/2022,Em dia
EMP-0122,CLT-0226,CRÉDITO PESSOAL,"R$ 12.955,61","5,3%",24,20,22/03/2024,Em dia
EMP-0078,CLT-0144,financiamento veicular,"R$ 123.696,56","4,7%",12,2 ,08-dez-2024,em dia
EMP-0209,CLT-0772,CRÉDITO PESSOAL,"8.938,46",4.3% a.m.,48,21,25/09/19,quitado
EMP-0046,CLT-0143,CP,5699.12,0.0149,240,0,08/03/2019,EM DIA
EMP-0237,CLT-0253,Fin. Veicular,,3.19,48,28 ,25/08/2023,Atrasado
EMP-0228,clt-0350,credito pessoal,"43.979,12",4.08,240,163,2024-04-10,EM DIA
EMP-0055,CLT-0605,financiamento veicular,"21.867,53","2,7%",72,43 ,12/07/2018,atrasado
EMP-0325,CLT-0535,CONSIGNADO,"R$ 46.635,45",,240,82,26/03/2019,Em dia
EMP-0057,CLT-0200,Consignado,48493.91,1.23,72,68,2022-08-28,Em análise
EMP-0224,CLT-0775,consignado,R$ 320454.60,3.3% a.m.,240,228 ,24/06/21,em analise
EMP-0206,CLT-0593,CONSIGNADO,36755.02,0.0398,48,30,27/03/21,em dia
EMP-0149,CLT-0275,Fin. Veicular,"40.205,66","4,1%",240,122 ,04/02/2021,Quitado
EMP-0277,CLT-0384,FV,"R$ 58.437,86","1,7%",240,75,22/03/2019,ATRASADO
EMP-0139,CLT-0766,credito pessoal,39626.38,2.06,24,12,2020-01-03,em dia
EMP-0153,CLT-0392,credito pessoal,"R$ 9.384,81","4,4%",48,18,28-12-2024,em analise
EMP-0118,CLT-0595,Consignado,"R$ 49.186,77",1.06,24,21,04-05-2026,Em dia
EMP-0150,CLT-0253,Crédito Imobiliário,"R$ 41.127,38","3,8%",72,32,10-09-2018,Em dia
EMP-0305,CLT-0607,Fin. Veicular,"305252,93",4.72,48,15 ,2018-06-03,Atrasado
EMP-0179,CLT-0324,financiamento veicular,"R$ 42.469,19",1.5% a.m.,240,195,2025-06-20,Em dia
EMP-0202,CLT-0485,financiamento veicular,"R$ 39.850,72",,24,23,16-09-2019,Em dia
EMP-0195,CLT-0116,credito imobiliario,"R$ 34.847,41","1,4%",120,9 ,13/10/2025,Quitado
EMP-0039,CLT-0402,Crédito Imobiliário,"92.359,57",0.0367,36,33 ,25/11/2021,Em dia
EMP-0098,CLT-0240,CONSIGNADO,"R$ 4.814,64",0.0188,120,67,03-08-2018,EM DIA
EMP-0189,CLT-0415,credito pessoal,9693.72,"5,0%",12,3,14-08-2023,Em dia
EMP-0192,clt-0820,Fin. Veicular,"R$ 2.055,20",0.0508,24,23 ,09-08-2023,Atrasado
EMP-0259,CLT-0604,Fin. Veicular,"4.621,10",0.0469,72,65,26-12-2018,Em análise
EMP-0030,CLT-0208,CP,4620.82,1.9% a.m.,120,53 ,2022-08-07,Em dia
EMP-0252,CLT-0129,financiamento veicular,"49.210,20","1,3%",60,28,24/08/2025,em dia
EMP-0080,CLT-0080,Consignado,R$ 54386.53,4.18,120,63 ,27-mar-2019,Em dia
EMP-0290,CLT-0007,FV,"380453,86",2.5% a.m.,36,31,2019-12-04,Quitado
EMP-0230,CLT-0650,Fin. Veicular,50110.59,0.0172,12,17,19/11/2024,Quitado
EMP-0177,CLT-0478,Crédito Pessoal,"58.002,98",,48,47 ,22/08/2024,Quitado
EMP-0226,CLT-0456,Consignado,"R$ 4.893,81",5.42,120,22,29/12/2018,atrasado
EMP-0113,CLT-0224,Crédito Imobiliário,"R$ 15.504,29","4,6%",120,3,26-11-2021,Em dia
EMP-0359,CLT-0803,Fin. Veicular,"1.870,92",,36,4 ,09/01/2024,Quitado
EMP-0333,CLT-0161,Financiamento Veicular,9085.71,4.04,24,8,2026-05-03,Em análise
EMP-0132,CLT-0349,credito pessoal,"115.935,89","3,6%",120,18,24/02/2020,EM DIA
EMP-0245,clt-0564,CP,"R$ 155.015,92","5,1%",24,23,2022-12-27,Em dia
EMP-0303,CLT-0571,Fin. Veicular,"R$ 127.169,20","1,7%",240,174,17/12/2022,Em dia
EMP-0344,CLT-0313,CONSIGNADO,"R$ 5.876,08","2,6%",120,115,05-11-2019,Em análise
EMP-0029,CLT-0161,FV,"R$ 279.547,57",2.46,120,85,2019-09-07,Em análise
EMP-0328,CLT-0087,consignado,6679.84,"3,1%",240,26,2025-07-18,em analise
